mol_id,smiles,mw,logp,hbd,hba,rtb,tpsa,has_pains,passed_lipinski,is_valid,passed_filter
CHEMBL24_div,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,266.34,0.45,3,4,8,84.58,False,True,True,True
CHEMBL25105_div,N=C(N)c1ccc(OCCCCCCOc2ccc(C(=N)N)cc2)cc1,354.45,3.27,4,4,11,118.2,False,True,True,False
CHEMBL25202_div,CC1(C)CCC(C)(C)c2cc(NC(=O)c3ccc(C(=O)O)cc3)ccc21,351.45,4.99,2,2,3,66.4,False,True,True,True
CHEMBL25336_div,C(=N/NC1=NCCN1)\c1c2ccccc2c(/C=N/NC2=NCCN2)c2ccccc12,398.47,1.76,4,8,4,97.56,False,True,True,True
CHEMBL25_div,CC(=O)Oc1ccccc1C(=O)O,180.16,1.31,1,3,2,63.6,False,True,True,True
CHEMBL262777_div,CN[C@H](CC(C)C)C(=O)N[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@H]2C(=O)N[C@H]3C(=O)N[C@H](C(=O)N[C@H](C(=O)O)c4cc(O)cc(O)c4-c4cc3ccc4O)[C@H](O)c3ccc(c(Cl)c3)Oc3cc2cc(c3O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O[C@H]2C[C@](C)(N)[C@H](O)[C@H](C)O2)Oc2ccc(cc2Cl)[C@H]1O,1449.27,0.11,19,25,13,530.49,False,False,True,False
CHEMBL264241_div,CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)cc5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)NC4=O)cc3)cc2)cc1,1140.25,-0.93,14,17,14,377.42,False,False,True,False
CHEMBL264374_div,CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O,361.83,3.55,2,3,7,75.63,False,True,True,True
CHEMBL265502_div,Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)cc1NC(=O)c1cccc(NC(=O)Nc2cccc(C(=O)Nc3cc(C(=O)Nc4ccc(S(=O)(=O)O)c5cc(S(=O)(=O)O)cc(S(=O)(=O)O)c45)ccc3C)c2)c1,1297.3,6.74,12,17,16,483.75,False,False,True,False
CHEMBL266349_div,N=C(N)c1ccc(CNC(=O)[C@@H]2CCN2C(=O)[C@H](NCC(=O)O)C2CCCCC2)cc1,429.52,0.81,5,5,9,148.61,False,True,True,True
CHEMBL266497_div,O=C1NC(=O)[C@@]2(CCOc3ccc(F)cc32)N1,236.2,0.64,2,3,0,67.43,False,True,True,True
